orig,new
TAn0_1,TAn0_a
TAn0_2,TAn0_b
TAn0_3,TAn0_c
TAn1_1,TAn1_a
TAn1_2,TAn1_b
TAn1_3,TAn1_c
TAn2_1,TAn2_a
TAn2_2,TAn2_b
TAn2_3,TAn2_c
TAn3_1,TAn3_b
TAn3_2,TAn3_a
TAn3_3,TAn3_c
TAn4_1,TAn4_c
TAn4_2,TAn4_b
TAn4_3,TAn4_a
TAn5_1,TAn5_a
TAn5_2,TAn5_c
TAn5_3,TAn5_b
W0_1,W0_a
W0_2,W0_b
W0_3,W0_c
W1_1,W1_a
W1_2,W1_c
W1_3,W1_b
W2_1,W2_a
W2_2,W2_b
W2_3,W2_c
W3_1,W3_a
W3_2,W3_b
W3_3,W3_c
W4_1,W4_b
W4_2,W4_a
W4_3,W4_c
W5_1,W5_b
W5_2,W5_c
W5_3,W5_a
G0_1,G0_a
G0_2,G0_b
G0_3,G0_c
G1_1,G1_c
G1_2,G1_a
G1_3,G1_b
G2_1,G2_a
G2_2,G2_b
G2_3,G2_c
G3_1,G3_b
G3_2,G3_a
G3_3,G3_c
G4_1,G4_a
G4_2,G4_b
G4_3,G4_c
G5_1,G5_c
G5_2,G5_b
G5_3,G5_a